startup,founder,website,company_email
Beautiful.ai,Mitch Grasso,https://www.beautiful.ai,support@beautiful.ai
Pitch,Christian Reber,https://pitch.com,support@pitch.com
Veed,Sabba Keynejad,https://www.veed.io,support@veed.io
Synthesia,Victor Riparbelli,https://www.synthesia.io,support@synthesia.io
ElevenLabs,Mati Staniszewski,https://elevenlabs.io,support@elevenlabs.io
Runway,Cristobal Valenzuela,https://runwayml.com,support@runwayml.com
Jasper,Dave Rogenmoser,https://www.jasper.ai,support@jasper.ai
Copy.ai,Paul Yacoubian,https://www.copy.ai,support@copy.ai
Writer,May Habib,https://writer.com,support@writer.com
Perplexity,Aravind Srinivas,https://www.perplexity.ai,support@perplexity.ai
Glean,Arvind Jain,https://www.glean.com,hello@glean.com
Otter,Sam Liang,https://otter.ai,support@otter.ai
Fireflies.ai,Krish Ramineni,https://fireflies.ai,support@fireflies.ai
Figma,Dylan Field,https://www.figma.com,support@figma.com
Bubble,Emmanuel Straschnov,https://bubble.io,support@bubble.io
Glide,David Siegel,https://www.glideapps.com,support@glideapps.com
Softr,Mariam Hakobyan,https://www.softr.io,support@softr.io
Vercel,Guillermo Rauch,https://vercel.com,support@vercel.com
Netlify,Matt Biilmann,https://www.netlify.com,support@netlify.com
Render,Anurag Goel,https://render.com,support@render.com
Railway,Jake Cooper,https://railway.com,hello@railway.com
Fly.io,Kurt Mackey,https://fly.io,support@fly.io
PlanetScale,Jiten Vaidya,https://planetscale.com,support@planetscale.com
Neon,Nikita Shamgunov,https://neon.tech,hello@neon.tech
Convex,James Cowling,https://www.convex.dev,hello@convex.dev
Clerk,Colin Sidoti,https://clerk.com,support@clerk.com
Resend,Zeno Rocha,https://resend.com,support@resend.com
Loops,Chris Frantz,https://loops.so,hello@loops.so
Userlist,Jane Portman,https://userlist.com,hello@userlist.com
Paddle,Christian Owens,https://www.paddle.com,support@paddle.com
Lemon Squeezy,JR Farr,https://www.lemonsqueezy.com,support@lemonsqueezy.com
Chargebee,Krish Subramanian,https://www.chargebee.com,support@chargebee.com
ProfitWell,Patrick Campbell,https://www.profitwell.com,support@profitwell.com
ChartHop,Ian White,https://www.charthop.com,support@charthop.com
Dock,Alex Kracov,https://www.dock.us,hello@dock.us
Mutiny,Jaleh Rezaei,https://www.mutinyhq.com,hello@mutinyhq.com
Common Room,Linda Lian,https://www.commonroom.io,hello@commonroom.io
Warmly,Max Greenwald,https://www.warmly.ai,hello@warmly.ai
Almanac,Adam Nathan,https://www.almanac.io,hello@almanac.io
Toggl,Alari Aho,https://toggl.com,support@toggl.com
Clockify,Nenad Milanovic,https://clockify.me,support@clockify.me
Float,Lars Lofgren,https://www.float.com,support@float.com
Parabola,Alex Leong,https://parabola.io,hello@parabola.io
Hightouch,Tejas Manohar,https://hightouch.com,hello@hightouch.com
